音碼	注音	漢語拼音	聲母(Initial)	母音(Final)	    介音(medials)	(rime)	韻腹(nucleus)	韻尾(coda)
352		ㄨㄣ	wen			/				fin_wen			m_wu		en		n_e				c_n
353		ㄓㄨㄣ	zhun		ini_zh			fin_wen			m_wu		en		n_e				c_n
354		ㄔㄨㄣ	chun		ini_ch			fin_wen			m_wu		en		n_e				c_n
355		ㄕㄨㄣ	shun		ini_sh			fin_wen			m_wu		en		n_e				c_n
356		ㄖㄨㄣ	run			ini_r			fin_wen			m_wu		en		n_e				c_n
357		ㄗㄨㄣ	zun			ini_z			fin_wen			m_wu		en		n_e				c_n
358		ㄘㄨㄣ	cun			ini_c			fin_wen			m_wu		en		n_e				c_n
359		ㄙㄨㄣ	sun			ini_s			fin_wen			m_wu		en		n_e				c_n
360		ㄍㄨㄣ	gun			ini_g			fin_wen			m_wu		en		n_e				c_n
361		ㄎㄨㄣ	kun			ini_k			fin_wen			m_wu		en		n_e				c_n
362		ㄏㄨㄣ	hun			ini_h			fin_wen			m_wu		en		n_e				c_n
363		ㄉㄨㄣ	dun			ini_d			fin_wen			m_wu		en		n_e				c_n
364		ㄊㄨㄣ	tun			ini_t			fin_wen			m_wu		en		n_e				c_n
365		ㄌㄨㄣ	lun			ini_l			fin_wen			m_wu		en		n_e				c_n
366		ㄨㄤ	wang		/				fin_wang		m_wu		ang		n_a				c_ng
367		ㄓㄨㄤ	zhuang		ini_zh			fin_wang		m_wu		ang		n_a				c_ng
368		ㄔㄨㄤ	chuang		ini_ch			fin_wang		m_wu		ang		n_a				c_ng
369		ㄕㄨㄤ	shuang		ini_sh			fin_wang		m_wu		ang		n_a				c_ng
370		ㄍㄨㄤ	guang		ini_g			fin_wang		m_wu		ang		n_a				c_ng
371		ㄎㄨㄤ	kuang		ini_k			fin_wang		m_wu		ang		n_a				c_ng
372		ㄏㄨㄤ	huang		ini_h			fin_wang		m_wu		ang		n_a				c_ng
373		ㄨㄥ	weng		/				fin_weng		m_wu		eng		n_e				c_ng
374		ㄓㄨㄥ	zhong		ini_zh			fin_weng		m_wu		eng		n_e				c_ng
375		ㄔㄨㄥ	chong		ini_ch			fin_weng		m_wu		eng		n_e				c_ng
376		ㄖㄨㄥ	rong		ini_r			fin_weng		m_wu		eng		n_e				c_ng
377		ㄗㄨㄥ	zong		ini_z			fin_weng		m_wu		eng		n_e				c_ng
378		ㄘㄨㄥ	cong		ini_c			fin_weng		m_wu		eng		n_e				c_ng
379		ㄙㄨㄥ	song		ini_s			fin_weng		m_wu		eng		n_e				c_ng
380		ㄍㄨㄥ	gong		ini_g			fin_weng		m_wu		eng		n_e				c_ng
381		ㄎㄨㄥ	kong		ini_k			fin_weng		m_wu		eng		n_e				c_ng
382		ㄏㄨㄥ	hong		ini_h			fin_weng		m_wu		eng		n_e				c_ng
383		ㄉㄨㄥ	dong		ini_d			fin_weng		m_wu		eng		n_e				c_ng
384		ㄊㄨㄥ	tong		ini_t			fin_weng		m_wu		eng		n_e				c_ng
385		ㄋㄨㄥ	nong		ini_n			fin_weng		m_wu		eng		n_e				c_ng
386		ㄌㄨㄥ	long		ini_l			fin_weng		m_wu		eng		n_e				c_ng
387		ㄩㄝ	yue			/				fin_yue			m_yu		eh		n_eh			/
388		ㄐㄩㄝ	jue			ini_j			fin_yue			m_yu		eh		n_eh			/
389		ㄑㄩㄝ	que			ini_q			fin_yue			m_yu		eh		n_eh			/
390		ㄒㄩㄝ	xue			ini_x			fin_yue			m_yu		eh		n_eh			/
391		ㄋㄩㄝ	nu_e		ini_n			fin_yue			m_yu		eh		n_eh			/
392		ㄌㄩㄝ	lu_e		ini_l			fin_yue			m_yu		eh		n_eh			/
393		ㄩㄢ	yuan		/				fin_yuan		m_yu		an		n_a				c_n
394		ㄐㄩㄢ	juan		ini_j			fin_yuan		m_yu		an		n_a				c_n
395		ㄑㄩㄢ	quan		ini_q			fin_yuan		m_yu		an		n_a				c_n
396		ㄒㄩㄢ	xuan		ini_x			fin_yuan		m_yu		an		n_a				c_n
397		ㄌㄩㄢ	lu_an		ini_l			fin_yuan		m_yu		an		n_a				c_n
398		ㄩㄣ	yun			/				fin_yun			m_yu		en		n_e				c_n
399		ㄐㄩㄣ	jun			ini_j			fin_yun			m_yu		en		n_e				c_n
400		ㄑㄩㄣ	qun			ini_q			fin_yun			m_yu		en		n_e				c_n
401		ㄒㄩㄣ	xun			ini_x			fin_yun			m_yu		en		n_e				c_n
402		ㄌㄩㄣ	l_un		ini_l			fin_yun			m_yu		en		n_e				c_n
403		ㄩㄥ	yong		/				fin_yung		m_yu		eng		n_e				c_ng
404		ㄐㄩㄥ	jiong		ini_j			fin_yung		m_yu		eng		n_e				c_ng
405		ㄑㄩㄥ	qiong		ini_q			fin_yung		m_yu		eng		n_e				c_ng
406		ㄒㄩㄥ	xiong		ini_x			fin_yung		m_yu		eng		n_e				c_ng
407		ㄦ		er			/				fin_er			/			er		n_e				c_r
408		ㄧㄛ	yo			/				fin_yo			m_yi		o		n_o				/
409		ㄥ		eng			/				fin_eng			/			eng		n_e				c_ng
410		ㄟ		ei			/				fin_ei			/			ei		n_eh			c_yi
411		ㄇㄜ	me			ini_m			fin_e			/			e		n_e				/
412		ㄈㄧㄠ	fiao		ini_f			fin_yao			m_yi		ao		n_a				c_wu
413		ㄉㄧㄚ	dia			ini_d			fin_ya			m_yi		a		n_a				/
